case,baseline,current,change,firefly_best,selected_methods
fire7_graph5_rank0208,29,26,-3,34,BalancedZippelSeparated
fire7_graph5_rank0209,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0210,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0211,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0212,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0213,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0214,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0215,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0216,29,26,-3,32,BalancedZippelSeparated
fire7_graph5_rank0217,29,26,-3,32,BalancedZippelSeparated
fire7_graph5_rank0218,25,25,0,24,BalancedZippelSeparated
fire7_graph5_rank0219,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0220,26,23,-3,29,BalancedZippelSeparated
fire7_graph5_rank0221,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0222,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0223,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0224,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0225,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0226,24,23,-1,24,BalancedZippelSeparated
fire7_graph5_rank0227,25,25,0,24,BalancedZippelSeparated
fire7_graph5_rank0228,27,27,0,26,BalancedZippelSeparated
fire7_graph5_rank0229,27,27,0,26,BalancedZippelSeparated
fire7_graph5_rank0230,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0231,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0232,27,27,0,32,BalancedZippelSeparated
fire7_graph5_rank0233,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0234,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0235,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0236,30,30,0,31,BalancedZippelSeparated
fire7_graph5_rank0237,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0238,25,25,0,28,BalancedZippelSeparated
fire7_graph5_rank0239,28,28,0,30,BalancedZippelSeparated
fire7_graph5_rank0240,27,27,0,29,BalancedZippelSeparated
fire7_graph5_rank0241,27,25,-2,31,BalancedZippelSeparated
fire7_graph5_rank0242,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0243,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0244,27,27,0,32,BalancedZippelSeparated
fire7_graph5_rank0245,30,30,0,35,BalancedZippelSeparated
fire7_graph5_rank0246,27,25,-2,31,BalancedZippelSeparated
fire7_graph5_rank0247,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0248,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0249,24,22,-2,24,BalancedZippelSeparated
fire7_graph5_rank0250,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0251,24,22,-2,26,BalancedZippelSeparated
fire7_graph5_rank0252,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0253,26,24,-2,30,BalancedZippelSeparated
fire7_graph5_rank0254,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0255,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0256,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0257,26,26,0,26,BalancedZippelSeparated
fire7_graph5_rank0258,25,25,0,24,BalancedZippelSeparated
fire7_graph5_rank0259,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0260,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0261,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0262,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0263,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0264,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0265,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0266,26,26,0,26,BalancedZippelSeparated
fire7_graph5_rank0267,27,27,0,32,BalancedZippelSeparated
fire7_graph5_rank0268,30,30,0,33,BalancedZippelSeparated
fire7_graph5_rank0269,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0270,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0271,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0272,25,23,-2,26,BalancedZippelSeparated
fire7_graph5_rank0273,28,28,0,30,BalancedZippelSeparated
fire7_graph5_rank0274,36,36,0,41,BalancedZippelSeparated
fire7_graph5_rank0275,28,25,-3,29,BalancedZippelSeparated
fire7_graph5_rank0276,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0277,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0278,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0279,28,28,0,26,BalancedZippelSeparated
fire7_graph5_rank0280,26,23,-3,29,BalancedZippelSeparated
fire7_graph5_rank0281,26,23,-3,29,BalancedZippelSeparated
fire7_graph5_rank0282,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0283,24,24,0,25,BalancedZippelSeparated
fire7_graph5_rank0284,25,25,0,27,BalancedZippelSeparated
fire7_graph5_rank0285,20,20,0,23,BalancedZippelSeparated
fire7_graph5_rank0286,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0287,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0288,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0289,23,22,-1,23,BalancedZippelSeparated
fire7_graph5_rank0290,23,21,-2,24,BalancedZippelSeparated
fire7_graph5_rank0291,26,23,-3,31,BalancedZippelSeparated
fire7_graph5_rank0292,21,20,-1,20,BalancedZippelSeparated
fire7_graph5_rank0293,20,19,-1,18,BalancedZippelSeparated
fire7_graph5_rank0294,26,23,-3,31,BalancedZippelSeparated
fire7_graph5_rank0295,28,25,-3,31,BalancedZippelSeparated
fire7_graph5_rank0296,24,22,-2,24,BalancedZippelSeparated
fire7_graph5_rank0297,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0298,24,24,0,23,BalancedZippelSeparated
fire7_graph5_rank0299,26,26,0,28,BalancedZippelSeparated
fire7_graph5_rank0300,24,22,-2,24,BalancedZippelSeparated
fire7_graph5_rank0301,23,21,-2,22,BalancedZippelSeparated
fire7_graph5_rank0302,26,24,-2,27,BalancedZippelSeparated
fire7_graph5_rank0303,26,26,0,25,BalancedZippelSeparated
