case,baseline,current,change,firefly_best
fire7_nb0_rank0228,493,492,-1,917
fire7_nb0_rank0229,395,394,-1,937
fire7_nb0_rank0230,526,525,-1,1394
fire7_nb0_rank0231,365,364,-1,943
fire7_nb0_rank0232,481,480,-1,999
fire7_nb0_rank0233,307,306,-1,642
fire7_nb0_rank0234,346,345,-1,637
fire7_nb0_rank0235,379,378,-1,1039
fire7_nb0_rank0236,368,367,-1,910
fire7_nb0_rank0237,376,375,-1,882
fire7_nb0_rank0238,401,400,-1,1143
fire7_nb0_rank0239,380,379,-1,979
fire7_nb0_rank0240,418,417,-1,976
fire7_nb0_rank0241,331,330,-1,971
fire7_nb0_rank0242,443,442,-1,1307
fire7_nb0_rank0243,351,350,-1,705
fire7_nb0_rank0244,351,350,-1,705
fire7_nb0_rank0245,442,441,-1,1367
fire7_nb0_rank0246,332,331,-1,939
fire7_nb0_rank0247,434,433,-1,1277
fire7_nb0_rank0248,388,387,-1,1023
fire7_nb0_rank0249,437,436,-1,1122
fire7_nb0_rank0250,347,346,-1,970
fire7_nb0_rank0251,349,348,-1,891
fire7_nb0_rank0252,399,398,-1,1075
fire7_nb0_rank0253,469,468,-1,1170
fire7_nb0_rank0254,393,392,-1,953
fire7_nb0_rank0255,390,389,-1,980
fire7_nb0_rank0256,355,354,-1,785
fire7_nb0_rank0257,443,442,-1,842
fire7_nb0_rank0258,289,288,-1,658
fire7_nb0_rank0259,265,264,-1,654
fire7_nb0_rank0260,307,306,-1,825
fire7_nb0_rank0261,325,324,-1,938
fire7_nb0_rank0262,307,306,-1,503
fire7_nb0_rank0263,426,425,-1,1175
fire7_nb0_rank0264,468,467,-1,1097
fire7_nb0_rank0265,366,365,-1,904
fire7_nb0_rank0266,443,442,-1,842
fire7_nb0_rank0267,301,300,-1,691
fire7_nb0_rank0268,301,300,-1,900
fire7_nb0_rank0269,366,365,-1,703
fire7_nb0_rank0270,366,365,-1,703
fire7_nb0_rank0271,328,327,-1,573
fire7_nb0_rank0272,381,380,-1,860
fire7_nb0_rank0273,383,382,-1,1025
fire7_nb0_rank0274,425,424,-1,1217
fire7_nb0_rank0275,521,520,-1,1663
fire7_nb0_rank0276,301,300,-1,573
fire7_nb0_rank0277,361,360,-1,979
fire7_nb0_rank0278,494,493,-1,1431
fire7_nb0_rank0279,387,386,-1,1300
fire7_nb0_rank0280,313,312,-1,926
fire7_nb0_rank0281,323,322,-1,735
fire7_nb0_rank0282,368,367,-1,697
fire7_nb0_rank0283,423,422,-1,990
fire7_nb0_rank0284,302,301,-1,706
fire7_nb0_rank0285,358,357,-1,955
fire7_nb0_rank0286,407,406,-1,980
fire7_nb0_rank0287,279,278,-1,900
fire7_nb0_rank0288,517,516,-1,1345
fire7_nb0_rank0289,396,395,-1,1067
fire7_nb0_rank0290,495,494,-1,1412
fire7_nb0_rank0291,407,406,-1,988
fire7_nb0_rank0292,339,338,-1,823
fire7_nb0_rank0293,314,313,-1,886
fire7_nb0_rank0294,337,336,-1,1064
fire7_nb0_rank0295,336,335,-1,790
fire7_nb0_rank0296,343,342,-1,805
fire7_nb0_rank0297,299,298,-1,925
fire7_nb0_rank0298,351,350,-1,827
fire7_nb0_rank0299,516,515,-1,1344
fire7_nb0_rank0300,346,345,-1,828
fire7_nb0_rank0301,391,390,-1,921
fire7_nb0_rank0302,391,390,-1,921
fire7_nb0_rank0303,363,362,-1,975
fire7_nb0_rank0304,308,307,-1,914
fire7_nb0_rank0305,274,273,-1,689
fire7_nb0_rank0306,358,357,-1,910
fire7_nb0_rank0307,335,334,-1,595
fire7_nb0_rank0308,313,312,-1,467
fire7_nb0_rank0309,368,367,-1,765
fire7_nb0_rank0310,396,395,-1,1080
fire7_nb0_rank0311,324,323,-1,700
fire7_nb0_rank0312,324,323,-1,700
fire7_nb0_rank0313,397,396,-1,1065
fire7_nb0_rank0314,265,264,-1,623
fire7_nb0_rank0315,408,407,-1,939
fire7_nb0_rank0316,369,368,-1,751
fire7_nb0_rank0317,408,407,-1,937
fire7_nb0_rank0318,358,357,-1,970
fire7_nb0_rank0319,351,350,-1,824
fire7_nb0_rank0320,457,456,-1,1036
fire7_nb0_rank0321,373,372,-1,938
fire7_nb0_rank0322,373,372,-1,924
fire7_nb0_rank0323,400,399,-1,936
fire7_nb0_rank0324,350,349,-1,1061
fire7_nb0_rank0325,534,533,-1,1018
fire7_nb0_rank0326,414,413,-1,930
fire7_nb0_rank0327,443,442,-1,880
fire7_nb0_rank0328,287,286,-1,791
fire7_nb0_rank0329,363,362,-1,916
fire7_nb0_rank0330,314,313,-1,455
fire7_nb0_rank0331,267,266,-1,861
fire7_nb0_rank0332,321,320,-1,694
fire7_nb0_rank0333,379,378,-1,728
fire7_nb0_rank0334,318,317,-1,813
fire7_nb0_rank0335,324,323,-1,697
fire7_nb0_rank0336,345,344,-1,920
fire7_nb0_rank0337,519,518,-1,1017
fire7_nb0_rank0338,281,280,-1,714
fire7_nb0_rank0339,273,272,-1,797
fire7_nb0_rank0340,363,362,-1,904
fire7_nb0_rank0341,324,323,-1,899
fire7_nb0_rank0342,402,401,-1,1149
fire7_nb0_rank0343,356,355,-1,969
fire7_nb0_rank0344,267,266,-1,517
fire7_nb0_rank0345,380,379,-1,830
fire7_nb0_rank0346,257,256,-1,662
fire7_nb0_rank0347,432,431,-1,1345
fire7_nb0_rank0348,280,279,-1,734
fire7_nb0_rank0349,277,276,-1,632
fire7_nb0_rank0350,268,267,-1,701
fire7_nb0_rank0351,410,409,-1,1155
fire7_nb0_rank0352,382,381,-1,941
fire7_nb0_rank0353,333,332,-1,749
fire7_nb0_rank0354,275,274,-1,894
fire7_nb0_rank0355,410,409,-1,828
fire7_nb0_rank0356,375,374,-1,937
fire7_nb0_rank0357,263,262,-1,623
fire7_nb0_rank0358,340,339,-1,1014
fire7_nb0_rank0359,326,325,-1,802
fire7_nb0_rank0360,325,324,-1,723
fire7_nb0_rank0361,305,304,-1,478
fire7_nb0_rank0362,279,278,-1,791
fire7_nb0_rank0363,365,364,-1,915
fire7_nb0_rank0364,320,319,-1,899
fire7_nb0_rank0365,348,347,-1,936
fire7_nb0_rank0366,256,255,-1,520
fire7_nb0_rank0367,305,304,-1,452
fire7_nb0_rank0368,408,407,-1,1075
fire7_nb0_rank0369,305,304,-1,802
fire7_nb0_rank0370,305,304,-1,962
fire7_nb0_rank0371,309,308,-1,879
fire7_nb0_rank0372,336,335,-1,668
fire7_nb0_rank0373,269,268,-1,699
fire7_nb0_rank0374,399,398,-1,1126
fire7_nb0_rank0375,303,302,-1,797
fire7_nb0_rank0376,324,323,-1,488
fire7_nb0_rank0377,400,399,-1,1042
fire7_nb0_rank0378,293,292,-1,660
fire7_nb0_rank0379,267,266,-1,795
fire7_nb0_rank0380,264,263,-1,652
fire7_nb0_rank0381,331,330,-1,783
fire7_nb0_rank0382,208,207,-1,427
fire7_nb0_rank0383,254,253,-1,709
fire7_nb0_rank0384,414,413,-1,1118
fire7_nb0_rank0385,332,331,-1,620
fire7_nb0_rank0386,267,266,-1,614
fire7_nb0_rank0387,332,331,-1,620
fire7_nb0_rank0388,280,279,-1,539
fire7_nb0_rank0389,266,265,-1,557
fire7_nb0_rank0390,319,318,-1,660
