case,num_terms,den_terms,Automatic,BalancedZippelSeparated,FireFly_default,FireFly_scan,FIRE7_Q_learned
fire7_graph5_rank0412,3,4,21,20,20,40,46
fire7_graph5_rank0413,6,2,28,28,29,79,72
fire7_graph5_rank0414,2,4,20,19,17,36,43
fire7_graph5_rank0415,2,4,20,19,17,36,43
fire7_graph5_rank0416,4,4,23,23,23,45,54
fire7_graph5_rank0417,4,3,18,18,17,37,34
fire7_graph5_rank0418,5,3,22,22,23,59,48
fire7_graph5_rank0419,2,6,23,21,20,41,49
fire7_graph5_rank0420,4,4,19,19,20,41,35
fire7_graph5_rank0421,3,4,21,20,20,40,46
fire7_graph5_rank0422,2,4,20,19,18,36,43
fire7_graph5_rank0423,4,4,22,21,23,60,44
fire7_graph5_rank0424,4,4,22,21,23,60,44
fire7_graph5_rank0425,2,4,20,19,18,36,43
fire7_graph5_rank0426,5,4,24,24,23,70,54
fire7_graph5_rank0427,3,6,23,21,24,44,49
fire7_graph5_rank0428,2,4,20,19,18,36,43
fire7_graph5_rank0429,2,4,20,19,18,36,43
fire7_graph5_rank0430,3,6,23,21,24,44,49
fire7_graph5_rank0431,3,6,23,21,24,44,49
fire7_graph5_rank0432,3,6,23,21,24,44,49
fire7_graph5_rank0433,2,4,20,19,18,36,43
fire7_graph5_rank0434,2,4,20,19,18,36,43
fire7_graph5_rank0435,4,3,22,22,21,62,48
fire7_graph5_rank0436,5,4,24,24,23,70,54
fire7_graph5_rank0437,5,4,24,24,23,70,54
fire7_graph5_rank0438,4,4,22,21,23,60,44
fire7_graph5_rank0439,3,4,21,20,20,40,46
fire7_graph5_rank0440,2,4,20,19,18,36,43
fire7_graph5_rank0441,5,4,24,24,23,70,54
fire7_graph5_rank0442,3,4,21,20,20,40,46
fire7_graph5_rank0443,3,2,19,19,15,46,42
fire7_graph5_rank0444,4,3,22,22,21,62,48
fire7_graph5_rank0445,3,4,21,20,18,40,46
fire7_graph5_rank0446,2,3,18,18,17,38,34
fire7_graph5_rank0447,6,3,22,22,23,69,48
fire7_graph5_rank0448,2,2,18,18,13,29,42
fire7_graph5_rank0449,4,3,22,22,21,62,48
fire7_graph5_rank0450,4,3,22,22,21,62,48
fire7_graph5_rank0451,3,3,18,18,17,41,34
fire7_graph5_rank0452,4,3,18,18,17,37,34
fire7_graph5_rank0453,3,2,17,17,15,37,33
fire7_graph5_rank0454,3,2,21,21,19,52,44
fire7_graph5_rank0455,4,4,22,21,23,60,44
fire7_graph5_rank0456,3,4,21,20,20,40,46
fire7_graph5_rank0457,5,3,22,22,21,65,48
fire7_graph5_rank0458,3,4,21,20,18,40,46
fire7_graph5_rank0459,4,4,21,20,20,59,43
fire7_graph5_rank0460,3,3,18,18,17,34,34
fire7_graph5_rank0461,4,4,25,25,23,47,56
fire7_graph5_rank0462,4,6,24,22,24,64,49
fire7_graph5_rank0463,4,3,21,21,17,40,48
fire7_graph5_rank0464,5,3,22,22,21,54,48
fire7_graph5_rank0465,5,3,24,24,25,60,50
fire7_graph5_rank0466,4,4,21,20,20,59,43
fire7_graph5_rank0467,4,6,26,24,29,66,51
fire7_graph5_rank0468,4,4,19,19,20,41,35
fire7_graph5_rank0469,4,3,23,23,21,42,50
fire7_graph5_rank0470,4,6,24,22,24,64,49
fire7_graph5_rank0471,5,3,22,22,21,54,48
fire7_graph5_rank0472,4,4,21,20,20,59,43
fire7_graph5_rank0473,4,3,18,18,17,37,34
fire7_graph5_rank0474,4,3,18,18,17,37,34
fire7_graph5_rank0475,4,3,21,21,21,40,48
fire7_graph5_rank0476,4,4,21,20,20,59,43
fire7_graph5_rank0477,4,4,21,20,20,59,43
fire7_graph5_rank0478,4,4,21,20,20,59,43
fire7_graph5_rank0479,4,4,21,20,20,42,43
fire7_graph5_rank0480,4,3,22,22,21,52,48
fire7_graph5_rank0481,5,3,26,26,25,65,72
fire7_graph5_rank0482,3,3,17,17,14,33,33
fire7_graph5_rank0483,4,4,21,20,20,59,43
fire7_graph5_rank0484,3,1,22,22,22,43,51
fire7_graph5_rank0485,3,3,17,17,14,33,33
fire7_graph5_rank0486,2,4,19,19,16,35,35
fire7_graph5_rank0487,4,4,23,23,20,45,54
fire7_graph5_rank0488,2,8,26,23,27,46,55
fire7_graph5_rank0489,3,4,20,20,20,46,36
fire7_graph5_rank0490,2,3,18,18,14,38,34
fire7_graph5_rank0491,3,4,21,20,17,53,43
fire7_graph5_rank0492,4,3,18,18,17,37,34
fire7_graph5_rank0493,4,3,18,18,17,37,34
fire7_graph5_rank0494,5,3,22,22,17,58,48
fire7_graph5_rank0495,5,3,22,22,17,50,48
fire7_graph5_rank0496,3,4,21,20,20,40,46
fire7_graph5_rank0497,3,6,23,21,22,44,49
fire7_graph5_rank0498,3,6,23,21,22,44,49
fire7_graph5_rank0499,2,4,20,19,18,36,43
fire7_graph5_rank0500,5,3,22,22,17,58,48
fire7_graph5_rank0501,1,4,20,19,16,30,43
fire7_graph5_rank0502,3,3,17,17,14,33,33
fire7_graph5_rank0503,4,3,18,18,17,37,34
fire7_graph5_rank0504,3,3,18,18,17,41,34
fire7_graph5_rank0505,3,3,18,18,17,41,34
fire7_graph5_rank0506,3,3,18,18,17,41,34
fire7_graph5_rank0507,3,3,18,18,17,41,34
fire7_graph5_rank0508,4,3,18,18,17,37,34
fire7_graph5_rank0509,5,3,26,26,27,65,72
fire7_graph5_rank0510,4,4,23,22,24,61,45
