case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
dense_box3,BalancedZippel,7,0,663.633,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippelSeparated,8,0,545.252,86,0,1,3,0,64,27,18,0
dense_box3,CuytLee,8,0,1489.296,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippel,8,0,669.463,102,0,1,3,0,64,27,18,0
dense_box3,BalancedZippel,9,0,655.962,102,0,1,3,0,64,27,18,0
dense_box3,CuytLee,9,0,1470.576,226,0,1,4,11,64,27,0,0
dense_box3,BalancedZippelSeparated,9,0,577.122,86,0,1,3,0,64,27,18,0
paper_eq28_y_d,CuytLee,1,0,58061.897,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,1,0,8767.834,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,1,0,12137.498,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,2,0,8692.934,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,2,0,53739.550,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,2,0,12354.168,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,3,0,12358.158,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,3,0,58622.519,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,3,0,8949.205,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,4,0,12261.748,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,4,0,8815.525,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,4,0,56412.701,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,5,0,8925.385,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,5,0,12398.278,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,5,0,56949.313,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,CuytLee,6,0,57635.716,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,6,0,12127.237,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,6,0,8833.505,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,7,0,57160.063,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,7,0,8978.095,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,7,0,12332.858,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippelSeparated,8,0,8924.385,303,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,8,0,58087.158,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippel,8,0,12195.687,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,BalancedZippel,9,0,12112.198,448,0,1,2,0,248,180,7,0
paper_eq28_y_d,CuytLee,9,0,54311.223,1362,0,1,3,14,248,180,0,0
paper_eq28_y_d,BalancedZippelSeparated,9,0,8873.875,303,0,1,2,0,248,180,7,0
paper_eq28_d_y,CuytLee,1,0,57884.057,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,1,0,13136.191,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,1,0,19300.476,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,2,0,13047.351,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,2,0,57054.813,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,2,0,19990.918,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,3,0,19891.438,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,3,0,58644.909,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,3,0,13100.871,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,4,0,19460.317,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,4,0,13151.251,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,4,0,57701.006,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,5,0,13194.121,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,5,0,19673.617,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,5,0,58935.741,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,CuytLee,6,0,58613.389,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,6,0,19440.836,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,6,0,13197.002,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,7,0,58596.249,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,7,0,13175.372,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,7,0,19412.745,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippelSeparated,8,0,13100.811,513,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,8,0,58408.638,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippel,8,0,19418.555,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,BalancedZippel,9,0,19511.897,803,0,1,2,0,248,180,30,0
paper_eq28_d_y,CuytLee,9,0,55870.018,1362,0,1,3,14,248,180,0,0
paper_eq28_d_y,BalancedZippelSeparated,9,0,12745.389,513,0,1,2,0,248,180,30,0
