case,method,seed,probe_work,elapsed_us,probes,poles,attempts,thiele,linear_solves,num_terms,den_terms,degree_rows,separation_fallbacks
sparse4,CuytLee,4,0,249.221,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,5,0,334.621,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,5,0,169.841,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,5,0,247.771,116,0,1,5,11,4,3,0,0
sparse4,CuytLee,6,0,248.301,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,6,0,191.621,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,6,0,311.331,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,7,0,248.901,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,7,0,335.011,136,0,1,8,0,4,3,12,1
sparse4,BalancedZippel,7,0,181.741,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippelSeparated,8,0,335.861,136,0,1,8,0,4,3,12,1
sparse4,CuytLee,8,0,275.201,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippel,8,0,201.201,72,0,1,4,0,4,3,6,0
sparse4,BalancedZippel,9,0,182.151,72,0,1,4,0,4,3,6,0
sparse4,CuytLee,9,0,266.161,116,0,1,5,11,4,3,0,0
sparse4,BalancedZippelSeparated,9,0,333.221,136,0,1,8,0,4,3,12,1
homogeneous_shift,CuytLee,1,0,204.100,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,1,0,222.861,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,1,0,112.131,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,2,0,206.241,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,2,0,349.981,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,2,0,120.880,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,3,0,159.390,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,3,0,207.961,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,3,0,207.791,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,4,0,115.721,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,4,0,204.191,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,4,0,217.221,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,5,0,209.481,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,5,0,111.960,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,5,0,198.540,104,1,1,4,8,3,3,0,0
homogeneous_shift,CuytLee,6,0,202.211,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,6,0,131.980,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,6,0,203.961,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,7,0,198.461,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,7,0,206.541,94,0,1,6,0,3,3,6,1
homogeneous_shift,BalancedZippel,7,0,112.140,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippelSeparated,8,0,225.541,94,0,1,6,0,3,3,6,1
homogeneous_shift,CuytLee,8,0,199.931,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippel,8,0,115.621,49,0,1,3,0,3,3,3,0
homogeneous_shift,BalancedZippel,9,0,114.000,49,0,1,3,0,3,3,3,0
homogeneous_shift,CuytLee,9,0,197.261,104,1,1,4,8,3,3,0,0
homogeneous_shift,BalancedZippelSeparated,9,0,206.811,94,0,1,6,0,3,3,6,1
dense_total3,CuytLee,1,0,483.082,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,1,0,945.393,276,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,1,0,578.782,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,2,0,935.483,276,0,1,6,0,35,20,36,1
dense_total3,CuytLee,2,0,484.932,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,2,0,585.123,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippel,3,0,571.833,160,0,1,3,0,35,20,18,0
dense_total3,CuytLee,3,0,480.192,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,3,0,963.904,276,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,4,0,575.032,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,4,0,913.873,276,0,1,6,0,35,20,36,1
dense_total3,CuytLee,4,0,476.691,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,5,0,924.254,276,0,1,6,0,35,20,36,1
dense_total3,BalancedZippel,5,0,568.822,160,0,1,3,0,35,20,18,0
dense_total3,CuytLee,5,0,473.532,160,0,1,4,14,35,20,0,0
dense_total3,CuytLee,6,0,485.092,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippel,6,0,561.132,160,0,1,3,0,35,20,18,0
dense_total3,BalancedZippelSeparated,6,0,915.343,276,0,1,6,0,35,20,36,1
dense_total3,CuytLee,7,0,490.111,160,0,1,4,14,35,20,0,0
dense_total3,BalancedZippelSeparated,7,0,924.343,276,0,1,6,0,35,20,36,1
